,osc12_5.csv,osc1_5.csv,osc3_5.csv,osc6_5.csv,osc9_5.csv,average
2008M03,0.0091746246640441,0.012942159177802191,0.015390753182596306,0.012364699761434042,0.00919459766932057,0.01181336689103944
2008M04,0.006766669534437546,-0.004500669432697238,0.014173170482475104,0.009874469023755805,0.008577256058678243,0.0069781791333298916
2008M05,0.0046677269127357625,-0.004694337118174354,0.006728979978826688,0.008392581620314834,0.009015943885212303,0.004822179055783046
2008M06,0.005592406330325017,-0.004847783278416179,-0.007476834530281032,0.010851524404958386,0.0068958438120367265,0.0022030313477245838
2008M07,0.005571667721113553,0.01282423444445625,-0.004893384861170982,0.009616612994974811,0.005423475402356442,0.0057085211403460154
2008M08,0.004129906113220054,-0.004764202494810401,-0.0063411322134375,-0.0015827236414967649,0.002873923771689822,-0.001136845692966958
2008M09,-0.00013298074644133885,-0.005480817101921707,-0.007842488368607313,-0.013097166304319174,0.0011523386423156288,-0.0050802227757947805
2008M10,-0.0073132134061127275,-0.007422234631860255,-0.011466946890813212,-0.016981411945739773,-0.005451871818297219,-0.009727135738564638
2008M11,-0.009935254781256203,-0.008717121927015613,-0.013277150204002724,-0.01933991473889806,-0.010702543179383125,-0.012394396966111146
2008M12,-0.011188734499717535,-0.009610187895048044,-0.014506233388548792,-0.020894226510728614,-0.015902838121454717,-0.01442044408309954
2009M01,-0.011970843501098524,0.012269138677216612,-0.012781264126389453,-0.02033425856008519,-0.014922309523621979,-0.009547907406795706
2009M02,-0.01502862483679528,-0.009417635021867248,-0.010931726411651056,-0.020161892107844748,-0.014858197560424244,-0.014079615187716516
2009M03,-0.018047074107926196,0.01211599070082261,0.008098235920873388,-0.018898233369976515,-0.014044729580787422,-0.006155162087398827
2009M04,-0.01426176256540897,0.012586345198803856,0.013311033222191024,-0.009697093068901243,-0.011148407115953832,-0.001841976865853833
2009M05,-0.012278823349365297,0.012786974443836686,0.016744180149920768,0.0022809631105188168,-0.009131046483986827,0.002080449574184829
2009M06,-0.008790131932578112,0.013292983015439953,0.017375023729670824,0.020418754980043398,-0.005085129434539454,0.007442300071607321
2009M07,-0.0072649232835055024,0.013571516891137617,0.017707133432096213,0.021051749821343002,0.0014729880153624576,0.009307692975286757
