,OLS-binary.csv,OLS-non-binary.csv,RF-binary.csv,RF-non-binary.csv,SVM-binary.csv,SVM-non-binary.csv
2016M03,59.89583333333333,60.416666666666664,59.375,60.416666666666664,54.16666666666667,54.166666666666664
2016M04,62.5,63.54166666666667,59.375,60.9375,55.72916666666667,55.20833333333333
2016M05,65.10416666666667,66.14583333333334,57.8125,58.33333333333333,56.25,53.64583333333333
2016M06,64.0625,64.58333333333333,56.77083333333333,59.375,56.25,55.729166666666664
2016M07,62.5,63.54166666666667,56.77083333333333,57.8125,56.25,54.68749999999999
2016M08,61.45833333333334,62.50000000000001,57.8125,57.8125,55.72916666666666,54.68749999999999
2016M09,58.854166666666664,60.9375,57.291666666666664,57.8125,55.20833333333333,54.6875
2016M10,57.8125,59.375,56.25,56.25,53.125,52.60416666666667
2016M11,57.29166666666666,58.33333333333333,56.25,57.291666666666664,53.125,52.083333333333336
2016M12,55.729166666666664,56.77083333333333,54.16666666666667,56.25,52.08333333333333,51.5625
2017M01,55.72916666666667,56.77083333333333,54.6875,55.208333333333336,52.60416666666667,53.645833333333336
